,Unnamed: 0.1,Unnamed: 0,survived,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,FamilySize,IsAlone,Age,sex_male,embarked_Q,embarked_S,pclass_2,pclass_3
0,0,0,0,-0.5657364610748746,1,0,-0.8797405693934278,Third,man,True,C,Southampton,no,False,0.059159876663617626,0,3.1354942159291497,True,False,True,False,True
1,1,1,1,0.6638610320657843,1,0,1.3612199269233833,First,woman,False,C,Cherbourg,yes,False,0.059159876663617626,0,3.6635616461296463,False,False,False,False,False
2,2,2,1,-0.2583370877897099,0,0,-0.798539974052802,Third,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.295836866004329,False,False,True,False,True
3,3,3,1,0.4333115021019107,1,0,1.0620380556287106,First,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.58351893845611,False,False,True,False,False
4,4,4,0,0.4333115021019107,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.58351893845611,True,False,True,False,True
5,5,5,0,-0.10463740114712752,0,0,-0.7386163019798164,Third,man,True,C,Queenstown,no,True,-0.5609748304808925,1,3.367295829986474,True,True,False,False,True
6,6,6,0,1.893458525206443,0,0,1.038145562232327,First,man,True,E,Southampton,no,True,-0.5609748304808925,1,4.007333185232471,True,False,True,False,False
7,7,7,0,-2.1027333275006983,3,1,0.13649913806595457,Third,child,False,C,Southampton,no,False,1.9195639980971482,0,1.0986122886681096,True,False,True,False,True
8,8,8,1,-0.1814872444684187,0,2,-0.48145578049281285,Third,woman,False,C,Southampton,yes,False,0.6792945838081278,0,3.332204510175204,False,False,True,False,True
9,9,9,1,-1.180535207645204,1,0,0.4894379098126231,Second,child,False,C,Cherbourg,yes,False,0.059159876663617626,0,2.70805020110221,False,False,False,True,False
10,10,10,1,-1.949033640858116,1,1,-0.09156500424402261,Third,child,False,G,Southampton,yes,False,0.6792945838081278,0,1.6094379124341003,False,False,True,False,True
11,11,11,1,2.200857898491608,0,0,0.36526093570402607,First,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,4.07753744390572,False,False,True,False,False
12,12,12,0,-0.719436147717457,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.044522437723423,True,False,True,False,True
13,13,13,0,0.7407108753870755,1,5,0.5286989276421437,Third,man,True,C,Southampton,no,False,3.1598334123861687,0,3.6888794541139363,True,False,True,False,True
14,14,14,0,-1.180535207645204,0,0,-0.806763380796033,Third,child,False,C,Southampton,no,True,-0.5609748304808925,1,2.70805020110221,False,False,True,False,True
15,15,15,1,1.9703083685277343,0,0,-0.13322852057373055,Second,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,4.02535169073515,False,False,True,True,False
16,16,16,0,-2.1027333275006983,4,1,0.457519539438721,Third,child,False,C,Queenstown,no,False,2.5396987052416584,0,1.0986122886681096,True,True,False,False,True
17,17,17,1,-0.10463740114712752,0,0,-0.3336984726090332,Second,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.367295829986474,True,False,True,True,False
18,18,18,0,0.12591212881674602,1,0,-0.01838583697289204,Third,woman,False,C,Southampton,no,False,0.059159876663617626,0,3.4657359027997265,False,False,True,False,True
19,19,19,1,-0.10463740114712752,0,0,-0.8828741679067217,Third,woman,False,C,Cherbourg,yes,True,-0.5609748304808925,1,3.367295829986474,False,False,False,False,True
20,20,20,0,0.4333115021019107,0,0,0.3444394801955362,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.58351893845611,True,False,True,True,False
21,21,21,1,0.35646165878061953,0,0,-0.3336984726090332,Second,man,True,D,Southampton,yes,True,-0.5609748304808925,1,3.5553480614894135,True,False,True,True,False
22,22,22,1,-1.1036853643239128,0,0,-0.7865550587251358,Third,child,False,C,Queenstown,yes,True,-0.5609748304808925,1,2.772588722239781,False,True,False,False,True
23,23,23,1,-0.10463740114712752,0,0,0.6557188297748954,First,man,True,A,Southampton,yes,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,False
24,24,24,0,-1.6416342675729512,3,1,0.13649913806595457,Third,child,False,C,Southampton,no,False,1.9195639980971482,0,2.1972245773362196,False,False,True,False,True
25,25,25,1,0.6638610320657843,1,5,0.5322916934007406,Third,woman,False,C,Southampton,yes,False,3.1598334123861687,0,3.6635616461296463,False,False,True,False,True
26,26,26,0,-0.10463740114712752,0,0,-0.8828741679067217,Third,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.367295829986474,True,False,False,False,True
27,27,27,0,-0.7962859910387481,3,2,2.6987007794454887,First,man,True,C,Southampton,no,False,2.5396987052416584,0,2.995732273553991,True,False,True,False,False
28,28,28,1,-0.10463740114712752,0,0,-0.8038521494426432,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,3.367295829986474,False,True,False,False,True
29,29,29,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
30,30,30,0,0.8175607187083667,0,0,0.4082334475616762,First,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.713572066704308,True,False,False,False,False
31,31,31,1,-0.10463740114712752,1,0,2.097794920021772,First,woman,False,B,Cherbourg,yes,False,0.059159876663617626,0,3.367295829986474,False,False,False,False,False
32,32,32,1,-0.10463740114712752,0,0,-0.8189865811572414,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,3.367295829986474,False,True,False,False,True
33,33,33,0,2.8156566450619374,0,0,-0.5368057694182641,Second,man,True,C,Southampton,no,True,-0.5609748304808925,1,4.204692619390966,True,False,True,True,False
34,34,34,0,-0.10463740114712752,1,0,1.5060857797883969,First,man,True,C,Cherbourg,no,False,0.059159876663617626,0,3.367295829986474,True,False,False,False,False
35,35,35,0,0.9712604053509489,1,0,1.0408277503255374,First,man,True,C,Southampton,no,False,0.059159876663617626,0,3.7612001156935624,True,False,True,False,False
36,36,36,1,-0.10463740114712752,0,0,-0.8823470582632056,Third,man,True,C,Cherbourg,yes,True,-0.5609748304808925,1,3.367295829986474,True,False,False,False,True
37,37,37,0,-0.6425863043961658,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.091042453358316,True,False,True,False,True
38,38,38,0,-0.8731358343600393,2,0,-0.01838583697289204,Third,woman,False,C,Southampton,no,False,0.6792945838081278,0,2.9444389791664403,False,False,True,False,True
39,39,39,1,-1.180535207645204,1,0,-0.47227211715402734,Third,child,False,C,Cherbourg,yes,False,0.059159876663617626,0,2.70805020110221,False,False,False,False,True
40,40,40,0,0.8175607187083667,1,0,-0.6331972544104211,Third,woman,False,C,Southampton,no,False,0.059159876663617626,0,3.713572066704308,False,False,True,False,True
41,41,41,0,-0.1814872444684187,1,0,0.1329851701219792,Second,woman,False,C,Southampton,no,False,0.059159876663617626,0,3.332204510175204,False,False,True,True,False
42,42,42,0,-0.10463740114712752,0,0,-0.8019236166026618,Third,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.367295829986474,True,False,False,False,True
43,43,43,1,-2.025883484179407,1,2,0.8147822510349934,Second,child,False,C,Cherbourg,yes,False,1.299429290952638,0,1.3862943611198906,False,False,False,True,False
44,44,44,1,-0.7962859910387481,0,0,-0.8038521494426432,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,2.995732273553991,False,True,False,False,True
45,45,45,0,-0.10463740114712752,0,0,-0.7841792430073967,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,True
46,46,46,0,-0.10463740114712752,1,0,-0.16405229962564447,Third,man,True,C,Queenstown,no,False,0.059159876663617626,0,3.367295829986474,True,True,False,False,True
47,47,47,1,-0.10463740114712752,0,0,-0.8189865811572414,Third,woman,False,C,Queenstown,yes,True,-0.5609748304808925,1,3.367295829986474,False,True,False,False,True
48,48,48,0,-0.10463740114712752,2,0,0.1643797141666741,Third,man,True,C,Cherbourg,no,False,0.6792945838081278,0,3.367295829986474,True,False,False,False,True
49,49,49,0,-0.8731358343600393,1,0,-0.0293120756270656,Third,woman,False,C,Southampton,no,False,0.059159876663617626,0,2.9444389791664403,False,False,True,False,True
50,50,50,0,-1.7184841108942424,4,1,0.7678594338107121,Third,child,False,C,Southampton,no,False,2.5396987052416584,0,2.0794415416798357,True,False,True,False,True
51,51,51,0,-0.6425863043961658,0,0,-0.8131032608653792,Third,man,True,C,Southampton,no,True,-0.5609748304808925,1,3.091042453358316,True,False,True,False,True
52,52,52,1,1.5092093085999871,1,0,1.4362199751817062,First,woman,False,D,Cherbourg,yes,False,0.059159876663617626,0,3.912023005428146,False,False,False,False,False
53,53,53,1,-0.027787557825836348,1,0,0.3444394801955362,Second,woman,False,C,Southampton,yes,False,0.059159876663617626,0,3.4011973816621555,False,False,True,True,False
54,54,54,0,2.738806801740646,0,1,1.2189504454470093,First,man,True,B,Cherbourg,no,False,0.059159876663617626,0,4.189654742026425,True,False,False,False,False
55,55,55,1,-0.10463740114712752,0,0,0.6557188297748954,First,man,True,C,Southampton,yes,True,-0.5609748304808925,1,3.367295829986474,True,False,True,False,False
56,56,56,1,-0.6425863043961658,0,0,-0.5368057694182641,Second,woman,False,C,Southampton,yes,True,-0.5609748304808925,1,3.091042453358316,False,False,True,True,False
57,57,57,0,-0.06621247948648194,0,0,-0.8823470582632056,Third,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.3843902633457743,True,False,False,False,True
58,58,58,1,-1.8721837975368247,1,2,0.40928266156909443,Second,child,False,C,Southampton,yes,False,1.299429290952638,0,1.791759469228055,False,False,True,True,False
59,59,59,0,-1.4110847376090776,5,2,0.936361092700485,Third,child,False,C,Southampton,no,False,3.779968119530679,0,2.4849066497880004,True,False,True,False,True
60,60,60,0,-0.5657364610748746,0,0,-0.8823470582632056,Third,man,True,C,Cherbourg,no,True,-0.5609748304808925,1,3.1354942159291497,True,False,False,False,True
61,61,61,1,0.6638610320657843,0,0,1.4787785499834798,First,woman,False,B,Southampton,yes,True,-0.5609748304808925,1,3.6635616461296463,False,False,True,False,False
62,62,62,0,1.2018099353148226,1,0,1.5221510751129648,First,man,True,C,Southampton,no,False,0.059159876663617626,0,3.828641396489095,True,False,True,False,False
63,63,63,0,-1.949033640858116,3,2,0.4146557174979072,Third,child,False,C,Southampton,no,False,2.5396987052416584,0,1.6094379124341003,True,False,True,False,True
